Composition:
0.03 ENA|CP000473|CP000473.1 Solibacter usitatus Ellin6076, complete genome.
0.00 ENA|CP002590|CP002590.1 Thermoproteus uzoniensis 768-20, complete genome.
0.00 ENA|CP002838|CP002838.1 Pyrolobus fumarii 1A, complete genome.
0.00 ENA|CP002656|CP002656.1 Metallosphaera cuprina Ar-4, complete genome.
0.00 ENA|AE017143|AE017143.1 Haemophilus ducreyi strain 35000HP complete genome.
0.00 ENA|CP002051|CP002051.1 Staphylothermus hellenicus DSM 12710, complete genome.
0.00 ENA|AE017261|AE017261.1 Picrophilus torridus DSM 9790, complete genome.
0.00 ENA|CP000743|CP000743.1 Methanococcus aeolicus Nankai-3, complete genome.
0.00 ENA|CP001696|CP001696.1 Methanocaldococcus fervens AG86, complete genome.
0.00 ENA|CP001742|CP001742.1 Acidilobus saccharovorans 345-15, complete genome.
0.00 ENA|CP002916|CP002916.1 Thermoplasmatales archaeon BRNA1, complete genome.
0.00 ENA|AP008981|AP008981.1 Orientia tsutsugamushi str. Ikeda DNA, complete genome.
0.00 ENA|CP003884|CP003884.1 Wolbachia endosymbiont of Drosophila simulans wHa, complete genome.
